Year,Apr,May,Jun,Jul,Aug,Sep,Max
2016,174.6,174.65,174.61,174.54,174.46,174.39,174.65
2017,174.64,174.82,174.83,174.81,174.7,174.58,174.83
2018,174.77,174.88,174.89,174.82,174.72,174.66,174.89
2019,174.83,175.05,175.14,175.13,175.02,174.87,175.14
